Location,Food ,Decor,Service,SummatedRating,CodedLocation,Cost
City,21,19,20,60,0,62
City,24,24,20,68,0,67
City,22,14,14,50,0,23
City,27,23,24,74,0,79
City,20,13,19,52,0,32
City,19,11,18,48,0,38
City,21,23,20,64,0,46
City,19,17,19,55,0,43
City,21,16,19,56,0,39
City,16,15,17,48,0,43
City,20,26,19,65,0,44
City,23,15,17,55,0,29
City,22,23,21,66,0,59
City,21,16,20,57,0,56
City,19,16,18,53,0,32
City,25,22,22,69,0,56
City,22,12,17,51,0,23
City,21,12,16,49,0,40
City,22,19,20,61,0,45
City,17,15,19,51,0,44
City,23,18,21,62,0,40
City,21,17,20,58,0,33
City,23,23,21,67,0,57
City,19,17,17,53,0,43
City,22,16,19,57,0,49
City,21,20,20,61,0,28
City,19,16,16,51,0,35
City,24,20,24,68,0,79
City,19,18,17,54,0,42
City,19,11,12,42,0,21
City,23,16,18,57,0,40
City,19,20,23,62,0,49
City,19,18,18,55,0,45
City,23,20,21,64,0,54
City,25,21,22,68,0,64
City,20,20,17,57,0,48
City,18,14,17,49,0,41
City,24,19,20,63,0,34
City,22,24,21,67,0,53
City,18,15,17,50,0,27
City,22,17,21,60,0,44
City,23,20,22,65,0,58
City,21,19,21,61,0,68
City,22,26,20,68,0,59
City,18,18,18,54,0,61
City,23,17,20,60,0,59
City,22,14,18,54,0,48
City,24,24,25,73,0,78
City,19,21,18,58,0,65
City,20,15,19,54,0,42
Suburban,22,17,21,60,1,53
Suburban,22,18,21,61,1,45
Suburban,20,13,17,50,1,39
Suburban,21,16,20,57,1,43
Suburban,24,19,20,63,1,44
Suburban,19,16,16,51,1,29
Suburban,22,22,21,65,1,37
Suburban,23,16,20,59,1,34
Suburban,18,19,19,56,1,33
Suburban,18,17,17,52,1,37
Suburban,22,17,22,61,1,54
Suburban,22,17,20,59,1,30
Suburban,19,22,17,58,1,49
Suburban,21,12,19,52,1,44
Suburban,15,20,16,51,1,34
Suburban,22,20,22,64,1,55
Suburban,20,18,18,56,1,48
Suburban,18,16,18,52,1,36
Suburban,22,16,21,59,1,29
Suburban,22,21,23,66,1,40
Suburban,19,19,19,57,1,38
Suburban,24,18,20,62,1,38
Suburban,25,21,24,70,1,55
Suburban,24,21,20,65,1,43
Suburban,20,13,17,50,1,33
Suburban,18,19,18,55,1,44
Suburban,22,15,19,56,1,41
Suburban,18,15,20,53,1,45
Suburban,23,25,21,69,1,41
Suburban,20,22,22,64,1,42
Suburban,20,19,17,56,1,37
Suburban,24,19,22,65,1,56
Suburban,24,27,24,75,1,60
Suburban,21,18,21,60,1,46
Suburban,17,14,18,49,1,31
Suburban,23,15,22,60,1,35
Suburban,24,21,21,66,1,68
Suburban,25,17,22,64,1,40
Suburban,21,19,20,60,1,51
Suburban,23,12,24,59,1,32
Suburban,21,15,19,55,1,28
Suburban,19,19,18,56,1,44
Suburban,26,13,18,57,1,26
Suburban,19,18,20,57,1,42
Suburban,21,11,16,48,1,37
Suburban,27,20,23,70,1,63
Suburban,24,20,20,64,1,37
Suburban,19,11,16,46,1,22
Suburban,23,21,20,64,1,53
Suburban,24,18,22,64,1,62
